Circuit: * C:\users\natch\My Documents\BYU\FALL\FALL2025\ECEN380\LAB4\TASK1\CONFIRMING_RIGHT_VALUES\confirming_right_values_sweep.asc

Direct Newton iteration for .op point succeeded.
.step h1_c1=1.08e-007 h1_c2=1.8e-010 h2_c1=5.436e-010
.step h1_c1=1.128e-007 h1_c2=1.8e-010 h2_c1=5.436e-010
.step h1_c1=1.176e-007 h1_c2=1.8e-010 h2_c1=5.436e-010
.step h1_c1=1.224e-007 h1_c2=1.8e-010 h2_c1=5.436e-010
.step h1_c1=1.272e-007 h1_c2=1.8e-010 h2_c1=5.436e-010
.step h1_c1=1.32e-007 h1_c2=1.8e-010 h2_c1=5.436e-010
.step h1_c1=1.08e-007 h1_c2=1.88e-010 h2_c1=5.436e-010
.step h1_c1=1.128e-007 h1_c2=1.88e-010 h2_c1=5.436e-010
.step h1_c1=1.176e-007 h1_c2=1.88e-010 h2_c1=5.436e-010
.step h1_c1=1.224e-007 h1_c2=1.88e-010 h2_c1=5.436e-010
.step h1_c1=1.272e-007 h1_c2=1.88e-010 h2_c1=5.436e-010
.step h1_c1=1.32e-007 h1_c2=1.88e-010 h2_c1=5.436e-010
.step h1_c1=1.08e-007 h1_c2=1.96e-010 h2_c1=5.436e-010
.step h1_c1=1.128e-007 h1_c2=1.96e-010 h2_c1=5.436e-010
.step h1_c1=1.176e-007 h1_c2=1.96e-010 h2_c1=5.436e-010
.step h1_c1=1.224e-007 h1_c2=1.96e-010 h2_c1=5.436e-010
.step h1_c1=1.272e-007 h1_c2=1.96e-010 h2_c1=5.436e-010
.step h1_c1=1.32e-007 h1_c2=1.96e-010 h2_c1=5.436e-010
.step h1_c1=1.08e-007 h1_c2=2.04e-010 h2_c1=5.436e-010
.step h1_c1=1.128e-007 h1_c2=2.04e-010 h2_c1=5.436e-010
.step h1_c1=1.176e-007 h1_c2=2.04e-010 h2_c1=5.436e-010
.step h1_c1=1.224e-007 h1_c2=2.04e-010 h2_c1=5.436e-010
.step h1_c1=1.272e-007 h1_c2=2.04e-010 h2_c1=5.436e-010
.step h1_c1=1.32e-007 h1_c2=2.04e-010 h2_c1=5.436e-010
.step h1_c1=1.08e-007 h1_c2=2.12e-010 h2_c1=5.436e-010
.step h1_c1=1.128e-007 h1_c2=2.12e-010 h2_c1=5.436e-010
.step h1_c1=1.176e-007 h1_c2=2.12e-010 h2_c1=5.436e-010
.step h1_c1=1.224e-007 h1_c2=2.12e-010 h2_c1=5.436e-010
.step h1_c1=1.272e-007 h1_c2=2.12e-010 h2_c1=5.436e-010
.step h1_c1=1.32e-007 h1_c2=2.12e-010 h2_c1=5.436e-010
.step h1_c1=1.08e-007 h1_c2=2.2e-010 h2_c1=5.436e-010
.step h1_c1=1.128e-007 h1_c2=2.2e-010 h2_c1=5.436e-010
.step h1_c1=1.176e-007 h1_c2=2.2e-010 h2_c1=5.436e-010
.step h1_c1=1.224e-007 h1_c2=2.2e-010 h2_c1=5.436e-010
.step h1_c1=1.272e-007 h1_c2=2.2e-010 h2_c1=5.436e-010
.step h1_c1=1.32e-007 h1_c2=2.2e-010 h2_c1=5.436e-010
.step h1_c1=1.08e-007 h1_c2=1.8e-010 h2_c1=5.6776e-010
.step h1_c1=1.128e-007 h1_c2=1.8e-010 h2_c1=5.6776e-010
.step h1_c1=1.176e-007 h1_c2=1.8e-010 h2_c1=5.6776e-010
.step h1_c1=1.224e-007 h1_c2=1.8e-010 h2_c1=5.6776e-010
.step h1_c1=1.272e-007 h1_c2=1.8e-010 h2_c1=5.6776e-010
.step h1_c1=1.32e-007 h1_c2=1.8e-010 h2_c1=5.6776e-010
.step h1_c1=1.08e-007 h1_c2=1.88e-010 h2_c1=5.6776e-010
.step h1_c1=1.128e-007 h1_c2=1.88e-010 h2_c1=5.6776e-010
.step h1_c1=1.176e-007 h1_c2=1.88e-010 h2_c1=5.6776e-010
.step h1_c1=1.224e-007 h1_c2=1.88e-010 h2_c1=5.6776e-010
.step h1_c1=1.272e-007 h1_c2=1.88e-010 h2_c1=5.6776e-010
.step h1_c1=1.32e-007 h1_c2=1.88e-010 h2_c1=5.6776e-010
.step h1_c1=1.08e-007 h1_c2=1.96e-010 h2_c1=5.6776e-010
.step h1_c1=1.128e-007 h1_c2=1.96e-010 h2_c1=5.6776e-010
.step h1_c1=1.176e-007 h1_c2=1.96e-010 h2_c1=5.6776e-010
.step h1_c1=1.224e-007 h1_c2=1.96e-010 h2_c1=5.6776e-010
.step h1_c1=1.272e-007 h1_c2=1.96e-010 h2_c1=5.6776e-010
.step h1_c1=1.32e-007 h1_c2=1.96e-010 h2_c1=5.6776e-010
.step h1_c1=1.08e-007 h1_c2=2.04e-010 h2_c1=5.6776e-010
.step h1_c1=1.128e-007 h1_c2=2.04e-010 h2_c1=5.6776e-010
.step h1_c1=1.176e-007 h1_c2=2.04e-010 h2_c1=5.6776e-010
.step h1_c1=1.224e-007 h1_c2=2.04e-010 h2_c1=5.6776e-010
.step h1_c1=1.272e-007 h1_c2=2.04e-010 h2_c1=5.6776e-010
.step h1_c1=1.32e-007 h1_c2=2.04e-010 h2_c1=5.6776e-010
.step h1_c1=1.08e-007 h1_c2=2.12e-010 h2_c1=5.6776e-010
.step h1_c1=1.128e-007 h1_c2=2.12e-010 h2_c1=5.6776e-010
.step h1_c1=1.176e-007 h1_c2=2.12e-010 h2_c1=5.6776e-010
.step h1_c1=1.224e-007 h1_c2=2.12e-010 h2_c1=5.6776e-010
.step h1_c1=1.272e-007 h1_c2=2.12e-010 h2_c1=5.6776e-010
.step h1_c1=1.32e-007 h1_c2=2.12e-010 h2_c1=5.6776e-010
.step h1_c1=1.08e-007 h1_c2=2.2e-010 h2_c1=5.6776e-010
.step h1_c1=1.128e-007 h1_c2=2.2e-010 h2_c1=5.6776e-010
.step h1_c1=1.176e-007 h1_c2=2.2e-010 h2_c1=5.6776e-010
.step h1_c1=1.224e-007 h1_c2=2.2e-010 h2_c1=5.6776e-010
.step h1_c1=1.272e-007 h1_c2=2.2e-010 h2_c1=5.6776e-010
.step h1_c1=1.32e-007 h1_c2=2.2e-010 h2_c1=5.6776e-010
.step h1_c1=1.08e-007 h1_c2=1.8e-010 h2_c1=5.9192e-010
.step h1_c1=1.128e-007 h1_c2=1.8e-010 h2_c1=5.9192e-010
.step h1_c1=1.176e-007 h1_c2=1.8e-010 h2_c1=5.9192e-010
.step h1_c1=1.224e-007 h1_c2=1.8e-010 h2_c1=5.9192e-010
.step h1_c1=1.272e-007 h1_c2=1.8e-010 h2_c1=5.9192e-010
.step h1_c1=1.32e-007 h1_c2=1.8e-010 h2_c1=5.9192e-010
.step h1_c1=1.08e-007 h1_c2=1.88e-010 h2_c1=5.9192e-010
.step h1_c1=1.128e-007 h1_c2=1.88e-010 h2_c1=5.9192e-010
.step h1_c1=1.176e-007 h1_c2=1.88e-010 h2_c1=5.9192e-010
.step h1_c1=1.224e-007 h1_c2=1.88e-010 h2_c1=5.9192e-010
.step h1_c1=1.272e-007 h1_c2=1.88e-010 h2_c1=5.9192e-010
.step h1_c1=1.32e-007 h1_c2=1.88e-010 h2_c1=5.9192e-010
.step h1_c1=1.08e-007 h1_c2=1.96e-010 h2_c1=5.9192e-010
.step h1_c1=1.128e-007 h1_c2=1.96e-010 h2_c1=5.9192e-010
.step h1_c1=1.176e-007 h1_c2=1.96e-010 h2_c1=5.9192e-010
.step h1_c1=1.224e-007 h1_c2=1.96e-010 h2_c1=5.9192e-010
.step h1_c1=1.272e-007 h1_c2=1.96e-010 h2_c1=5.9192e-010
.step h1_c1=1.32e-007 h1_c2=1.96e-010 h2_c1=5.9192e-010
.step h1_c1=1.08e-007 h1_c2=2.04e-010 h2_c1=5.9192e-010
.step h1_c1=1.128e-007 h1_c2=2.04e-010 h2_c1=5.9192e-010
.step h1_c1=1.176e-007 h1_c2=2.04e-010 h2_c1=5.9192e-010
.step h1_c1=1.224e-007 h1_c2=2.04e-010 h2_c1=5.9192e-010
.step h1_c1=1.272e-007 h1_c2=2.04e-010 h2_c1=5.9192e-010
.step h1_c1=1.32e-007 h1_c2=2.04e-010 h2_c1=5.9192e-010
.step h1_c1=1.08e-007 h1_c2=2.12e-010 h2_c1=5.9192e-010
.step h1_c1=1.128e-007 h1_c2=2.12e-010 h2_c1=5.9192e-010
.step h1_c1=1.176e-007 h1_c2=2.12e-010 h2_c1=5.9192e-010
.step h1_c1=1.224e-007 h1_c2=2.12e-010 h2_c1=5.9192e-010
.step h1_c1=1.272e-007 h1_c2=2.12e-010 h2_c1=5.9192e-010
.step h1_c1=1.32e-007 h1_c2=2.12e-010 h2_c1=5.9192e-010
.step h1_c1=1.08e-007 h1_c2=2.2e-010 h2_c1=5.9192e-010
.step h1_c1=1.128e-007 h1_c2=2.2e-010 h2_c1=5.9192e-010
.step h1_c1=1.176e-007 h1_c2=2.2e-010 h2_c1=5.9192e-010
.step h1_c1=1.224e-007 h1_c2=2.2e-010 h2_c1=5.9192e-010
.step h1_c1=1.272e-007 h1_c2=2.2e-010 h2_c1=5.9192e-010
.step h1_c1=1.32e-007 h1_c2=2.2e-010 h2_c1=5.9192e-010
.step h1_c1=1.08e-007 h1_c2=1.8e-010 h2_c1=6.1608e-010
.step h1_c1=1.128e-007 h1_c2=1.8e-010 h2_c1=6.1608e-010
.step h1_c1=1.176e-007 h1_c2=1.8e-010 h2_c1=6.1608e-010
.step h1_c1=1.224e-007 h1_c2=1.8e-010 h2_c1=6.1608e-010
.step h1_c1=1.272e-007 h1_c2=1.8e-010 h2_c1=6.1608e-010
.step h1_c1=1.32e-007 h1_c2=1.8e-010 h2_c1=6.1608e-010
.step h1_c1=1.08e-007 h1_c2=1.88e-010 h2_c1=6.1608e-010
.step h1_c1=1.128e-007 h1_c2=1.88e-010 h2_c1=6.1608e-010
.step h1_c1=1.176e-007 h1_c2=1.88e-010 h2_c1=6.1608e-010
.step h1_c1=1.224e-007 h1_c2=1.88e-010 h2_c1=6.1608e-010
.step h1_c1=1.272e-007 h1_c2=1.88e-010 h2_c1=6.1608e-010
.step h1_c1=1.32e-007 h1_c2=1.88e-010 h2_c1=6.1608e-010
.step h1_c1=1.08e-007 h1_c2=1.96e-010 h2_c1=6.1608e-010
.step h1_c1=1.128e-007 h1_c2=1.96e-010 h2_c1=6.1608e-010
.step h1_c1=1.176e-007 h1_c2=1.96e-010 h2_c1=6.1608e-010
.step h1_c1=1.224e-007 h1_c2=1.96e-010 h2_c1=6.1608e-010
.step h1_c1=1.272e-007 h1_c2=1.96e-010 h2_c1=6.1608e-010
.step h1_c1=1.32e-007 h1_c2=1.96e-010 h2_c1=6.1608e-010
.step h1_c1=1.08e-007 h1_c2=2.04e-010 h2_c1=6.1608e-010
.step h1_c1=1.128e-007 h1_c2=2.04e-010 h2_c1=6.1608e-010
.step h1_c1=1.176e-007 h1_c2=2.04e-010 h2_c1=6.1608e-010
.step h1_c1=1.224e-007 h1_c2=2.04e-010 h2_c1=6.1608e-010
.step h1_c1=1.272e-007 h1_c2=2.04e-010 h2_c1=6.1608e-010
.step h1_c1=1.32e-007 h1_c2=2.04e-010 h2_c1=6.1608e-010
.step h1_c1=1.08e-007 h1_c2=2.12e-010 h2_c1=6.1608e-010
.step h1_c1=1.128e-007 h1_c2=2.12e-010 h2_c1=6.1608e-010
.step h1_c1=1.176e-007 h1_c2=2.12e-010 h2_c1=6.1608e-010
.step h1_c1=1.224e-007 h1_c2=2.12e-010 h2_c1=6.1608e-010
.step h1_c1=1.272e-007 h1_c2=2.12e-010 h2_c1=6.1608e-010
.step h1_c1=1.32e-007 h1_c2=2.12e-010 h2_c1=6.1608e-010
.step h1_c1=1.08e-007 h1_c2=2.2e-010 h2_c1=6.1608e-010
.step h1_c1=1.128e-007 h1_c2=2.2e-010 h2_c1=6.1608e-010
.step h1_c1=1.176e-007 h1_c2=2.2e-010 h2_c1=6.1608e-010
.step h1_c1=1.224e-007 h1_c2=2.2e-010 h2_c1=6.1608e-010
.step h1_c1=1.272e-007 h1_c2=2.2e-010 h2_c1=6.1608e-010
.step h1_c1=1.32e-007 h1_c2=2.2e-010 h2_c1=6.1608e-010
.step h1_c1=1.08e-007 h1_c2=1.8e-010 h2_c1=6.4024e-010
.step h1_c1=1.128e-007 h1_c2=1.8e-010 h2_c1=6.4024e-010
.step h1_c1=1.176e-007 h1_c2=1.8e-010 h2_c1=6.4024e-010
.step h1_c1=1.224e-007 h1_c2=1.8e-010 h2_c1=6.4024e-010
